,Price
0,11000000.0
1,5000000.0
2,4900000.0
3,10600000.0
4,4620000.0
5,12500000.0
6,13000000.0
7,5600000.0
8,7859999.999999999
9,5000000.0
10,8570000.0
11,4300000.0
12,7290000.000000001
13,14900000.0
14,3200000.0
15,7780000.0
16,1900000.0
17,7500000.0
18,4200000.0
19,6200000.0
20,4620000.0
21,4620000.0
22,7500000.0
23,3800000.0
24,10600000.0
25,2200000.0
26,8570000.0
27,8000000.0
28,8000000.0
29,10700000.0
30,5000000.0
31,4620000.0
32,5600000.0
33,7541062.9170638705
34,10600000.0
35,7541062.9170638705
36,7000000.0
37,11200000.000000002
38,2000000.0
39,4620000.0
40,11500000.0
41,5500000.0
42,10600000.0
43,8500000.0
44,9500000.0
45,6000000.0
46,7209999.999999999
47,4700000.0
48,4000000.0
49,2600000.0
50,10400000.0
51,5000000.0
52,6000000.0
53,11000000.0
54,7400000.0
55,6520000.0
56,3500000.0
57,8200000.0
58,3600000.0
59,2600000.0
60,3000000.0
61,7541062.9170638705
62,3900000.0
63,13000000.0
64,12400000.0
65,7900000.0
66,7780000.0
67,8300000.0
68,11500000.0
69,12500000.0
70,8500000.0
71,8760000.0
72,6950000.0
73,7541062.9170638705
74,13500000.0
75,6000000.0
76,11200000.000000002
77,6450000.0
78,11700000.0
79,7500000.0
80,4620000.0
81,8200000.0
82,4300000.0
83,7541062.9170638705
84,6500000.0
85,7400000.0
86,8900000.0
87,2850000.0
88,6950000.0
89,5000000.0
90,10600000.0
91,8220000.0
92,7200000.0
93,4800000.0
94,13000000.0
95,11500000.0
96,2500000.0
97,4840000.0
98,8220000.0
99,7209999.999999999
100,11500000.0
101,6600000.0
102,2600000.0
103,8220000.0
104,3500000.0
105,3870000.0000000005
106,8220000.0
107,3500000.0
108,6490000.000000001
109,5700000.0
110,4000000.0
111,9000000.0
112,3200000.0
113,3500000.0
114,11200000.000000002
115,7000000.0
116,7209999.999999999
117,11000000.0
118,6790000.000000001
119,8500000.0
120,9000000.0
121,4200000.0
122,11500000.0
123,5900000.0
124,7541062.9170638705
125,14700000.0
126,7290000.000000001
127,8500000.0
128,5500000.0
129,5600000.0
130,12800000.0
131,6450000.0
132,8030000.0
133,10000000.0
134,4600000.0
135,4400000.0
136,5000000.0
137,7780000.0
138,8600000.0
139,4500000.0
140,7800000.0
141,10500000.0
142,7300000.0
143,5200000.0
144,7780000.0
145,14900000.0
146,8220000.0
147,12800000.0
148,6060000.0
149,5200000.0
150,10400000.0
151,11500000.0
152,4000000.0
153,4300000.0
154,8500000.0
155,1850000.0
156,7541062.9170638705
157,13500000.0
158,7859999.999999999
159,7541062.9170638705
160,7209999.999999999
161,5250000.0
162,5600000.0
163,14000000.0
164,6450000.0
165,8500000.0
166,12200000.0
167,6500000.0
168,11000000.0
169,11200000.000000002
170,7500000.0
171,5800000.0
172,8500000.0
173,6200000.0
174,8200000.0
175,5000000.0
176,6150000.0
177,14700000.0
178,4880000.0
179,11399999.999999998
180,3500000.0
181,9000000.0
182,4800000.0
183,6000000.0
184,14700000.0
185,8500000.0
186,9500000.0
187,3300000.0
188,14900000.0
189,6900000.0
190,4500000.0
191,5800000.0
192,11200000.000000002
193,14000000.0
194,7000000.0
195,10000000.0
196,5700000.0
197,4500000.0
198,14700000.0
199,8570000.0
200,8800000.0
201,7541062.9170638705
202,12600000.0
203,4090000.0
204,7541062.9170638705
205,4000000.0
206,3500000.0
207,14700000.0
208,3000000.0
209,7200000.0
210,7780000.0
211,6200000.0
212,4700000.0
213,6520000.0
214,4800000.0
215,7209999.999999999
216,10000000.0
217,4250000.0
218,5500000.0
219,2550000.0
220,10600000.0
221,5920000.0
222,8000000.0
223,3940000.0
224,10400000.0
225,3400000.0
226,7541062.9170638705
227,14500000.0
228,7209999.999999999
229,7000000.0
230,7300000.0
231,13000000.0
232,4500000.0
233,7290000.000000001
234,12800000.0
235,7500000.0
236,2800000.0
237,8570000.0
238,3700000.0
239,7000000.0
240,3000000.0
241,7500000.0
242,4200000.0
243,3400000.0
244,9500000.0
245,8000000.0
246,7000000.0
247,7800000.0
248,6500000.0
249,6600000.0
250,2800000.0
251,5000000.0
252,7500000.0
253,12600000.0
254,11000000.0
255,3510000.0
256,14700000.0
257,7290000.000000001
258,3000000.0
259,7290000.000000001
260,3200000.0
261,8030000.0
262,7541062.9170638705
263,3000000.0
264,11200000.000000002
265,2960000.0
266,9070000.0
267,7290000.000000001
268,5000000.0
269,7859999.999999999
270,6520000.0
271,7250000.0
272,7500000.0
273,8400000.0
274,6950000.0
275,11000000.0
276,6000000.0
277,7000000.0
278,14500000.0
279,13100000.0
280,11200000.000000002
281,14900000.0
282,7541062.9170638705
283,7000000.0
284,8030000.0
285,7209999.999999999
286,7541062.9170638705
287,5400000.0
288,6790000.000000001
289,5790000.0
290,10600000.0
291,5200000.0
292,10400000.0
293,9000000.0
294,12000000.0
295,5900000.0
296,12000000.0
297,8220000.0
298,12800000.0
299,12500000.0
300,6950000.0
301,12600000.0
302,9600000.0
303,9120000.0
304,13100000.0
305,12500000.0
306,13000000.0
307,6800000.0
308,2100000.0
309,11500000.0
310,6900000.0
311,6520000.0
312,4690000.0
313,9300000.0
314,1450000.0
315,5200000.0
316,8500000.0
317,5500000.0
318,10400000.0
319,13100000.0
320,5000000.0
321,7541062.9170638705
322,6950000.0
323,4000000.0
324,8500000.0
325,8000000.0
326,5600000.0
327,5500000.0
328,5700000.0
329,6450000.0
330,3600000.0
331,9500000.0
332,8100000.0
333,6450000.0
334,9300000.0
335,14000000.0
336,7859999.999999999
337,6950000.0
338,7500000.0
339,6340000.0
340,12600000.0
341,10400000.0
342,9000000.0
343,14900000.0
344,12700000.0
345,7209999.999999999
346,11000000.0
347,4000000.0
348,9500000.0
349,10600000.0
350,8500000.0
351,11000000.0
352,13200000.0
353,6100000.0
354,4500000.0
355,9600000.0
356,5000000.0
357,5800000.0
358,9500000.0
359,4600000.0
360,7500000.0
361,11500000.0
362,4000000.0
363,14900000.0
364,8030000.0
365,1000000.0
366,4000000.0
367,4300000.0
368,4520000.0
369,6500000.0
370,3200000.0
371,5460000.0
372,10000000.0
373,5000000.0
374,6000000.0
375,5200000.0
376,11500000.0
377,7859999.999999999
378,10000000.0
379,11000000.0
380,7200000.0
381,5400000.0
382,10400000.0
383,2800000.0
384,14900000.0
385,4000000.0
386,9100000.0
387,13100000.0
388,8700000.0
389,14500000.0
390,12800000.0
391,7000000.0
392,9000000.0
393,10400000.0
394,12800000.0
395,7290000.000000001
396,6380000.0
397,6300000.0
398,9000000.0
399,9500000.0
400,8030000.0
401,3600000.0
402,7770000.0
403,11500000.0
404,1550000.0
405,10800000.0
406,12000000.0
407,6500000.0
408,5000000.0
409,7250000.0
410,4950000.0
411,2000000.0
412,6500000.0
413,5500000.0
414,4800000.0
415,4000000.0
416,7500000.0
417,8200000.0
418,7259999.999999999
419,11200000.000000002
420,7541062.9170638705
421,11500000.0
422,5200000.0
423,4700000.0
424,2600000.0
425,3000000.0
426,11000000.0
427,9200000.0
428,6000000.0
429,5160000.0
430,3000000.0
431,6800000.0
432,4800000.0
433,14000000.0
434,7859999.999999999
435,4620000.0
436,9200000.0
437,5500000.0
438,8220000.0
439,10100000.0
440,9070000.0
441,7900000.0
442,10200000.0
443,14900000.0
444,9000000.0
445,13500000.0
446,4800000.0
447,4620000.0
448,10400000.0
449,8570000.0
450,5030000.0
451,5950000.0
452,14900000.0
453,4550000.0
454,8500000.0
455,4800000.0
456,8200000.0
457,8500000.0
458,3600000.0
459,9000000.0
460,5500000.0
461,10600000.0
462,9500000.0
463,5000000.0
464,7290000.000000001
465,6500000.0
466,3900000.0
467,11700000.0
468,10400000.0
469,9070000.0
470,6250000.0
471,4500000.0
472,8000000.0
473,9000000.0
474,6950000.0
475,6900000.0
476,7300000.0
477,10500000.0
478,12000000.0
479,7290000.000000001
480,4300000.0
481,11200000.000000002
482,6500000.0
483,9000000.0
484,5500000.0
485,10000000.0
486,6520000.0
487,13000000.0
488,6850000.0
489,7541062.9170638705
490,4900000.0
491,11200000.000000002
492,11200000.000000002
493,10400000.0
494,7000000.0
495,7859999.999999999
496,7000000.0
497,12800000.0
498,5800000.0
499,7500000.0
500,8000000.0
501,2800000.0
502,5000000.0
503,9900000.0
504,7859999.999999999
505,5500000.0
506,5000000.0
507,6210000.0
508,10500000.0
509,11800000.0
510,1800000.0
511,6450000.0
512,11000000.0
513,6500000.0
514,2900000.0
515,7500000.0
516,8700000.0
517,7500000.0
518,3000000.0
519,10400000.0
520,6520000.0
521,10000000.0
522,4700000.0
523,13100000.0
524,14500000.0
525,10800000.0
526,6950000.0
527,6450000.0
528,6800000.0
529,5800000.0
530,8300000.0
531,8500000.0
532,8650000.0
533,4410000.0
534,6600000.0
535,5200000.0
536,7859999.999999999
537,10000000.0
538,2500000.0
539,7900000.0
540,3200000.0
541,7541062.9170638705
542,8030000.0
543,4500000.0
544,3800000.0
545,7750000.0
546,7390000.000000001
547,12500000.0
548,5800000.0
549,13000000.0
550,4600000.0
551,4000000.0
552,7800000.0
553,3500000.0
554,14500000.0
555,5600000.0
556,13000000.0
557,7209999.999999999
558,3800000.0
559,4000000.0
560,3000000.0
561,9500000.0
562,4500000.0
563,4600000.0
564,8600000.0
565,6520000.0
566,4300000.0
567,7290000.000000001
568,11000000.0
569,13400000.0
570,14500000.0
571,6500000.0
572,7500000.0
573,6700000.0
574,11500000.0
575,6420000.0
576,14700000.0
577,3200000.0
578,13100000.0
579,3000000.0
580,4300000.0
581,5000000.0
582,8220000.0
583,6100000.0
584,4600000.0
585,14900000.0
586,4900000.0
587,13100000.0
588,5500000.0
589,4620000.0
590,9500000.0
591,7290000.000000001
592,12000000.0
593,10000000.0
594,7080000.0
595,6200000.0
596,4500000.0
597,14700000.0
598,2500000.0
599,10400000.0
600,8000000.0
601,4620000.0
602,13500000.0
603,8000000.0
604,4000000.0
605,7859999.999999999
606,7209999.999999999
607,8030000.0
608,10600000.0
609,6459999.999999999
610,8200000.0
611,6500000.0
612,10600000.0
613,4300000.0
614,8000000.0
615,11200000.000000002
616,8900000.0
617,4500000.0
618,8500000.0
619,10400000.0
620,1600000.0
621,8200000.0
622,3550000.0
623,4500000.0
624,3820000.0000000005
625,5500000.0
626,6750000.0
627,9800000.0
628,4740000.0
629,4000000.0
630,11000000.0
631,9070000.0
632,8100000.0
633,9070000.0
634,4620000.0
635,9200000.0
636,7440000.000000001
637,4000000.0
638,11000000.0
639,6740000.000000001
640,12600000.0
641,5250000.0
642,12000000.0
643,9000000.0
644,1600000.0
645,4620000.0
646,3200000.0
647,6400000.0
648,11500000.0
649,13000000.0
650,6000000.0
651,7800000.0
652,11200000.000000002
653,13100000.0
654,5000000.0
655,6900000.0
656,10400000.0
657,7780000.0
658,14700000.0
659,7900000.0
660,6950000.0
661,6380000.0
662,7500000.0
663,6500000.0
664,5500000.0
665,10000000.0
666,11200000.000000002
667,9720000.0
668,13000000.0
669,10200000.0
670,3650000.0
671,7541062.9170638705
672,7200000.0
673,5500000.0
674,4500000.0
675,8030000.0
676,11500000.0
677,14700000.0
678,7900000.0
679,6950000.0
680,14000000.0
681,2900000.0
682,8800000.0
683,3600000.0
684,3600000.0
